年月日,降水量の合計(mm),最低気温(℃),最高気温(℃),平均気温(℃)
2009/1/1,9,6,10.6,8.5
2009/1/2,0,6.9,12.4,10
2009/1/3,0,7.6,13.5,10.5
2009/1/4,0,9.5,14.3,12.4
2009/1/5,8.5,12.1,14.1,13
2009/1/6,0,10.5,15.6,12.5
2009/1/7,0.5,9.1,16.4,12.9
2009/1/8,6.5,11.2,13.1,11.8
2009/1/9,33,7.7,13.1,10.7
2009/1/10,30,4.4,9.8,8.1
2009/1/11,1.5,7.7,10.7,9.4
2009/1/12,30,5.1,12,8.4
2009/1/13,30.5,4.8,9.4,7.3
2009/1/14,15.5,6.6,12.7,8.9
2009/1/15,3.5,6.2,10.4,7.9
2009/1/16,0,6.6,14.5,9.7
2009/1/17,0,6.3,16,11.5
2009/1/18,2.5,11.2,19.4,16.1
2009/1/19,0.5,7.9,16.6,13.2
2009/1/20,0,7.8,16.3,12
2009/1/21,0,8.3,17,14
2009/1/22,11.5,13.4,18.2,15.5
2009/1/23,2.5,6.8,14.8,11.6
2009/1/24,26,3.4,8.2,5.6
2009/1/25,6,4.8,11.7,7.6
2009/1/26,0,6.1,13.2,9.5
2009/1/27,5.5,8.5,12.4,10.2
2009/1/28,12,10.6,17.3,14.3
2009/1/29,117.5,15,20.9,18.3
2009/1/30,20.5,14.7,21.7,17.2
2009/1/31,8.5,10.6,17,14.4
2009/2/1,0,7.5,15.7,11.4
2009/2/2,0,7.5,18.1,13
2009/2/3,4,14.3,21,16.7
2009/2/4,0,12,18.3,14.6
2009/2/5,0,11.8,19.1,15.3
2009/2/6,0,10.7,17.3,14.3
2009/2/7,0,11,17.9,14.5
2009/2/8,0,9.8,17.3,14
2009/2/9,5.5,10.7,18.7,15.1
2009/2/10,0,10.8,15.6,13
2009/2/11,0,10.7,17.9,14.5
2009/2/12,0,9.4,19.6,15.6
2009/2/13,27,17.5,20.6,19.2
2009/2/14,11.5,15.2,20.8,18.8
2009/2/15,0,14.1,19.9,16.7
2009/2/16,0,9.7,15.8,12.2
2009/2/17,0,6.4,11.7,8.7
2009/2/18,0,6.8,14,10.9
2009/2/19,52,7.4,19.6,14
2009/2/20,14,10.5,20.7,14.7
2009/2/21,0,7.9,13.9,10.8
2009/2/22,5.5,10.9,20,16.9
2009/2/23,8,16.2,20.9,18.1
2009/2/24,8.5,15.3,20.7,18.6
2009/2/25,49,16.9,25.6,20.3
2009/2/26,8.5,14.5,17.1,15.7
2009/2/27,23.5,13.1,16.9,15.1
2009/2/28,3.5,13.4,16.9,14.7
2009/3/1,5,11,17.7,14.1
2009/3/2,3,11.1,17.6,14.1
2009/3/3,23.5,11.9,20.7,14.6
2009/3/4,3.5,11.9,14.9,12.8
2009/3/5,41,11.5,18.3,15.1
2009/3/6,13,12.2,20.2,15.3
2009/3/7,0,11.1,14.9,13.2
2009/3/8,3.5,12.8,15.9,14.6
2009/3/9,98,11.8,16,14.2
2009/3/10,0,11.2,18.7,14.7
2009/3/11,0,10.5,18,14.9
2009/3/12,0,9.9,19.1,15.8
2009/3/13,39,13.4,19.9,17.4
2009/3/14,8.5,7.6,13.6,10.3
2009/3/15,0,7.8,16,11.6
2009/3/16,0,7.9,20.4,13.8
2009/3/17,0,10.4,21.6,15.9
2009/3/18,0,12.3,22.1,18.5
2009/3/19,35.5,17.2,20.7,19.2
2009/3/20,25.5,16,24.1,20
2009/3/21,0,16.7,20.5,18.9
2009/3/22,68.5,16.2,23.5,19.4
2009/3/23,0,15.2,19.7,16.8
2009/3/24,1.5,12.2,16.6,14.7
2009/3/25,0,10.3,17.5,13.2
2009/3/26,0,9.2,15.4,12
2009/3/27,0,10.7,17.1,13.9
2009/3/28,13,9.8,14.2,12.5
2009/3/29,22.5,10.7,14.8,12.9
2009/3/30,17,10.7,16.1,14.1
2009/3/31,40.5,12.8,17.3,14.7
2009/4/1,0,10.8,14.7,13
2009/4/2,0,9.6,15.6,12.2
2009/4/3,0,9,18.5,14.4
2009/4/4,0,16.7,21.4,18.7
2009/4/5,14.5,12.5,17.2,14.3
2009/4/6,0,13.5,20.8,16.6
2009/4/7,0,14.1,21.6,17.1
2009/4/8,0,14.4,22.8,17.9
2009/4/9,0,13.4,23.5,18.7
2009/4/10,0,13.9,23.3,19.2
2009/4/11,0,15.5,24.5,20
2009/4/12,0,15.1,23.9,19
2009/4/13,3.5,15.3,24,19.3
2009/4/14,116,17.7,24.1,20.3
2009/4/15,0,13.4,22.2,18.5
2009/4/16,0,13.5,23.6,18.7
2009/4/17,0,16.3,22.2,19.4
2009/4/18,0,16.7,24.3,19.9
2009/4/19,0,15.5,24.8,20.1
2009/4/20,63,19.4,21.4,20.5
2009/4/21,1.5,17.6,22.4,19.5
2009/4/22,0,16.4,21.2,18.3
2009/4/23,0,16.1,21.9,18.5
2009/4/24,17.5,16.5,23,19.6
2009/4/25,184.5,14.7,22.6,19.3
2009/4/26,0,13.7,17.9,15.4
2009/4/27,0,14.1,19.4,15.8
2009/4/28,0,13,20.8,17
2009/4/29,0,12.7,21.8,17.3
2009/4/30,0,11.3,22.9,17
2009/5/1,0,13.3,23,19.1
2009/5/2,0,15.3,23.1,19.5
2009/5/3,0,18.8,23.7,20.8
2009/5/4,2,15.8,21.5,18.7
2009/5/5,0,15.8,24,20.2
2009/5/6,0,16.4,24.4,20.3
2009/5/7,0,14.8,25.6,20.5
2009/5/8,0,19.5,27.1,22.7
2009/5/9,0,16.3,25,21.1
2009/5/10,0,15,25,20.2
2009/5/11,0,16,25.8,21
2009/5/12,0,17.9,26.9,22.5
2009/5/13,0,19.8,26,22.2
2009/5/14,0,18,25.6,21.6
2009/5/15,0,17.7,25.7,22
2009/5/16,0,20.1,26.2,23
2009/5/17,3,18.5,31.9,23.5
2009/5/18,0,18,23.2,20
2009/5/19,7.5,15.2,23.7,18.8
2009/5/20,0,14.4,25.7,20.6
2009/5/21,37.5,21.4,24.9,23
2009/5/22,0,18.9,24.3,21.8
2009/5/23,0,17.7,24.2,21.1
2009/5/24,7.5,19.3,24.7,21.3
2009/5/25,0,16.6,24.4,20.6
2009/5/26,0,16.5,23.8,20.6
2009/5/27,17,16.6,20.3,18.7
2009/5/28,35.5,16.9,24.4,20.6
2009/5/29,0,19.8,24.9,22.1
2009/5/30,0,19.8,25.5,22.3
2009/5/31,0,19.3,25.5,22.1
2009/6/1,0,17.1,28.5,22.5
2009/6/2,0,15.8,25.8,21.8
2009/6/3,28,19.7,24.1,21.9
2009/6/4,0,20.7,25,22.5
2009/6/5,0,19.7,25.2,22.1
2009/6/6,1,19.3,25.7,22.6
2009/6/7,0,17.4,26.2,22
2009/6/8,0,19,25.7,22.6
2009/6/9,0,21,27.3,23.9
2009/6/10,4.5,22.2,25.1,23.7
2009/6/11,5.5,17.9,22.8,20.5
2009/6/12,0.5,17.9,25.3,21.6
2009/6/13,3,17.6,22.9,19.8
2009/6/14,0,17.6,25.7,21.8
2009/6/15,0,19,27.5,22.8
2009/6/16,0,18.8,27.7,23.2
2009/6/17,1.5,18.6,27,22.9
2009/6/18,18.5,21.9,23.3,22.5
2009/6/19,5,21.5,26.3,23.2
2009/6/20,2,21.3,27.1,23.6
2009/6/21,0,20.6,29,25.1
2009/6/22,25.5,23.6,33.7,27.5
2009/6/23,82,23.6,28.8,25.9
2009/6/24,40,21.6,28.3,23.3
2009/6/25,4,21,24.6,22.4
2009/6/26,0,20.7,25.3,23
2009/6/27,78.5,20.9,24.7,22.6
2009/6/28,36.5,21.2,29,24.6
2009/6/29,0,23.4,31.7,27.3
2009/6/30,0,23.7,32.1,28.1
2009/7/1,0,22.6,32.8,27.7
2009/7/2,18.5,21.1,26.6,23.4
2009/7/3,45,18.9,23.4,20.9
2009/7/4,1.5,19.2,27.5,23.6
2009/7/5,15,22.9,30.6,26.3
2009/7/6,0,22.4,28.4,25.6
2009/7/7,0,22.7,30.4,26.8
2009/7/8,0,23.4,30.6,26.8
2009/7/9,0,23.8,30.9,27.9
2009/7/10,0,24.2,32.6,28
2009/7/11,0,24.5,30.5,27.6
2009/7/12,0,26.2,31.6,28.4
2009/7/13,0,24.9,31.3,28.1
2009/7/14,0,25.8,31.6,28
2009/7/15,0,24.2,31.5,27.9
2009/7/16,0,26.4,32,28.4
2009/7/17,0,24.5,32.1,28.1
2009/7/18,0,23.4,31.9,27.5
2009/7/19,0,24.6,32.1,28.4
2009/7/20,0,24.7,31.9,28.5
2009/7/21,0,25.1,32.6,28.6
2009/7/22,34.5,25.3,30.2,27.1
2009/7/23,0,23.6,27.8,25.7
2009/7/24,0,24.3,31.8,28
2009/7/25,0,25.6,32.3,28.8
2009/7/26,16,23.3,28,25.7
2009/7/27,1.5,23.2,28.7,25.9
2009/7/28,3.5,24.6,29.1,26.5
2009/7/29,0,24.4,31.6,27.7
2009/7/30,0,23.3,29.8,26.5
2009/7/31,0,22.8,28.2,25.6
2009/8/1,0,23,29,26.1
2009/8/2,0,24.7,30.5,27.5
2009/8/3,0,26.1,30.5,28.2
2009/8/4,0,26.8,30.4,28.1
2009/8/5,5.5,27,29.3,27.9
2009/8/6,1,27.1,31.3,28.8
2009/8/7,0.5,27.1,30.9,28.6
2009/8/8,34,25.3,30.5,27.1
2009/8/9,0.5,26.4,31,27.9
2009/8/10,1,25.6,33.8,29.5
2009/8/11,0,26,33.5,29.7
2009/8/12,0,25.7,33.7,29.1
2009/8/13,0,26.6,33.9,29.6
2009/8/14,0,26.1,33.2,29.2
2009/8/15,0,25,32.2,28.4
2009/8/16,0,24.9,31.4,27.9
2009/8/17,0,24.9,30.2,27.7
2009/8/18,1.5,25.4,31.4,28.1
2009/8/19,8.5,25.4,30.9,27.5
2009/8/20,0,25.7,31.2,28.2
2009/8/21,0,25.1,31.4,28.2
2009/8/22,0,25.7,27,26.1
2009/8/23,0,24.1,32.2,28
2009/8/24,0,22.2,30.9,27.3
2009/8/25,0,21.9,31,26.1
2009/8/26,0,22.6,30.4,26.3
2009/8/27,0,23.2,31.5,26.9
2009/8/28,0,23.8,31.8,27.9
2009/8/29,0,24.6,31.4,27.5
2009/8/30,0,23.9,31.5,27.8
2009/8/31,6,24.9,30.7,27.4
2009/9/1,0,24.4,30.8,27.7
2009/9/2,8,25.8,31.4,28.3
2009/9/3,4.5,25.4,31.7,28.2
2009/9/4,11.5,24.7,31.1,27.3
2009/9/5,12,24.8,30.2,27.8
2009/9/6,0,25.7,30.2,27.9
2009/9/7,0,25.6,30.7,27.7
2009/9/8,0,25.5,31,28.1
2009/9/9,0,25.2,30.5,27.3
2009/9/10,0,24.9,30.2,26.6
2009/9/11,1.5,23.6,28.8,26.1
2009/9/12,0.5,22.5,31.2,27
2009/9/13,0,24.2,28.9,26.1
2009/9/14,0,23.6,28.2,25.9
2009/9/15,29,23.7,28.4,25.4
2009/9/16,1,20.9,28.1,24.9
2009/9/17,0,19.4,28.2,24.9
2009/9/18,0.5,23.5,26.3,25.4
2009/9/19,0,20.6,28.3,24.9
2009/9/20,0,21.2,28.8,24.9
2009/9/21,0,20.3,28.8,25.6
2009/9/22,0.5,24.2,29.4,26.2
2009/9/23,3,22.4,29.1,25
2009/9/24,0,21.8,29.1,25.3
2009/9/25,0,21.7,29.8,25.4
2009/9/26,0,22.8,29.4,25.6
2009/9/27,14.5,23.5,29.6,26.2
2009/9/28,7.5,24.2,29.7,26.4
2009/9/29,1,24.2,29.9,26.2
2009/9/30,21,23.9,30.2,26.2
2009/10/1,3,24.3,29.4,26.4
2009/10/2,11,23.3,27.4,25.4
2009/10/3,0,20.2,27.2,23.8
2009/10/4,4,18.3,26.5,22.3
2009/10/5,56.5,19.1,23.7,22.2
2009/10/6,4.5,22.4,25.2,24.3
2009/10/7,140,20.6,24.9,22.4
2009/10/8,0,20.6,24.9,22.4
2009/10/9,0,19.7,24.9,21.2
2009/10/10,0,16.6,22.5,20.5
2009/10/11,0,15.8,23.6,20.4
2009/10/12,0,17.4,25.2,21.3
2009/10/13,0,17.9,26,21.6
2009/10/14,0,19.6,26.5,22.4
2009/10/15,0,18.3,24.4,21.1
2009/10/16,0,17.2,24.7,20.3
2009/10/17,0,17.5,26.4,22.1
2009/10/18,0,18.3,24.6,21.5
2009/10/19,0,15.8,26.2,20.8
2009/10/20,2,17.8,23.6,20.7
2009/10/21,0,17.9,24.4,20.9
2009/10/22,3.5,19.8,22.6,21.4
2009/10/23,5.5,19,23,21.3
2009/10/24,15.5,17.4,22.4,20.4
2009/10/25,20,20.6,23.4,22.2
2009/10/26,20,17.8,22.6,20.6
2009/10/27,0,18.3,24.7,21.1
2009/10/28,0,15.3,25.3,20.5
2009/10/29,0,16.5,25,20.2
2009/10/30,0,16.9,24.9,20.9
2009/10/31,0,19.7,25.8,23
2009/11/1,51.5,20.3,25.3,22.4
2009/11/2,0,12.3,20.7,17.4
2009/11/3,0,11.1,16.9,13.8
2009/11/4,0,11.2,21.2,17.4
2009/11/5,0,17.4,22.3,19
2009/11/6,0,17,22.1,19.5
2009/11/7,0,17,24.6,20.9
2009/11/8,0,20.2,23.7,21.6
2009/11/9,2.5,19.1,23.1,21
2009/11/10,197,19.3,23.3,21.2
2009/11/11,26.5,19,24.5,21.4
2009/11/12,0,19.8,21.4,20.6
2009/11/13,9,19.7,22.5,21
2009/11/14,12,17.1,22.1,19.4
2009/11/15,0,14.3,20.2,16.8
2009/11/16,43,13.7,18.2,16.2
2009/11/17,75,13.4,17.3,15.6
2009/11/18,0.5,11.5,14.8,13.1
2009/11/19,0,12.7,15.3,14.2
2009/11/20,3.5,12.7,18.4,15
2009/11/21,7,11.8,13.9,12.9
2009/11/22,49,12.5,16.8,14
2009/11/23,1.5,13,19.4,16
2009/11/24,99,16.7,19.7,17.9
2009/11/25,0,15.2,21.6,17.9
2009/11/26,0,13.4,20.8,17.7
2009/11/27,0,14,23.6,18.3
2009/11/28,4,16.6,20.9,19.4
2009/11/29,6.5,16.3,21.1,18.6
2009/11/30,0,14.8,18.4,16.9
2009/12/1,0,15.1,19.8,17
2009/12/2,0,17,20.8,19
2009/12/3,45,14.4,19.3,16.5
2009/12/4,0,10.8,18,14.9
2009/12/5,0,10.7,20.5,15.6
2009/12/6,0,13.1,14.9,14
2009/12/7,0,9.4,16,12.9
2009/12/8,0,10.2,18.6,14.9
2009/12/9,0,12.6,21.6,16.1
2009/12/10,182,14,21.4,17.3
2009/12/11,31,17,21.7,18.8
2009/12/12,0,15.7,21.4,17.6
2009/12/13,0,15.5,17.2,16.6
2009/12/14,0,12.1,18.1,15.6
2009/12/15,12,11.8,16.4,13.9
2009/12/16,12,9.4,13.1,11.2
2009/12/17,11.5,7.4,11.4,9.4
2009/12/18,23.5,7.4,11.4,9.2
2009/12/19,12.5,5,10.8,7.9
2009/12/20,13,7.1,14,9.9
2009/12/21,32,5.4,12.1,9.5
2009/12/22,0,6.3,13.9,9.9
2009/12/23,0,6.2,20.3,13.1
2009/12/24,9,11.3,18.4,14.7
2009/12/25,5,12.6,19.6,15.5
2009/12/26,5.5,9.6,15.8,12.9
2009/12/27,1,7,16,12
2009/12/28,24,9.7,11.8,10.5
2009/12/29,0,8.3,13.4,10.5
2009/12/30,0,8.6,16.8,13.1
2009/12/31,3,6.1,11.5,9.1
2010/1/1,2,7.8,10.2,9
2010/1/2,0,7.5,13.8,10.7
2010/1/3,3,8.9,14.3,11.8
2010/1/4,0,6.7,17.9,12.5
2010/1/5,1,7.6,14.1,11
2010/1/6,2.5,7.3,10.3,9.2
2010/1/7,1.5,7.1,10.9,9.2
2010/1/8,0,9.4,11.2,10.4
2010/1/9,0,10.9,14.4,11.9
2010/1/10,0,9.9,15.4,12.4
2010/1/11,11.5,10.7,16.9,12.3
2010/1/12,30,5.8,11.2,9.3
2010/1/13,20,3.9,8.2,6.1
2010/1/14,2.5,5.2,10.1,7.6
2010/1/15,0,4.6,15.6,11.5
2010/1/16,0,9.8,14.4,11.3
2010/1/17,0,6,13.4,10
2010/1/18,0,5.6,16.7,10.3
2010/1/19,0,6.6,18.5,12.1
2010/1/20,0,11.1,21.2,18.1
2010/1/21,1.5,13.2,20.5,16.8
2010/1/22,0,10.4,15.5,12.6
2010/1/23,0,9.9,11.1,10.5
2010/1/24,0,6.8,13.2,10.2
2010/1/25,10.5,8,13.9,11.4
2010/1/26,0,5.9,13,10.1
2010/1/27,0,4.7,17.8,12.8
2010/1/28,25,12.3,17.6,14.9
2010/1/29,0,9.6,15.5,12.3
2010/1/30,0,9.3,15.4,12.1
2010/1/31,13.5,14.2,20.1,17.8
2010/2/1,2.5,13.4,24.3,17.4
2010/2/2,0,11,15.5,12.6
2010/2/3,4.5,7.6,11.7,9.8
2010/2/4,0,7.5,10.7,9.3
2010/2/5,0,8.2,12.1,9.4
2010/2/6,0,8.2,13.4,10.7
2010/2/7,0,9.3,15.4,13.1
2010/2/8,91.5,14.3,18.7,16.8
2010/2/9,95,16.6,23.8,19
2010/2/10,13,16,24.8,20.2
2010/2/11,15,19,25.6,21.5
2010/2/12,0,12.9,21.9,14.8
2010/2/13,0,9.3,13.4,12.1
2010/2/14,23.5,8.2,14.9,12.1
2010/2/15,64.5,12.2,16.4,14.2
2010/2/16,2.5,10.2,13.3,11.6
2010/2/17,0,10.1,14.5,11.6
2010/2/18,0,9,14.4,10.8
2010/2/19,4,6,9.8,8.2
2010/2/20,0.5,7.3,12.3,9.6
2010/2/21,0,6.4,15.9,11.6
2010/2/22,41.5,8.2,20.4,13.5
2010/2/23,3,12.8,20.7,16.1
2010/2/24,0,12.3,22.2,17.5
2010/2/25,2.5,18.8,22,20
2010/2/26,251,18.6,21.5,19.9
2010/2/27,0,16.2,20.2,17.8
2010/2/28,0,15.3,20.4,17.3
2010/3/1,13.5,15,23.2,19.8
2010/3/2,1.5,14.7,20.2,17
2010/3/3,1,13.5,17.8,15.7
2010/3/4,90,16,20.2,18.1
2010/3/5,34,15.6,19.1,17.2
2010/3/6,19.5,17.7,21.8,20.2
2010/3/7,48.5,14.4,18.6,16.6
2010/3/8,58,14.1,17.9,15.5
2010/3/9,17.5,10,18.7,13.7
2010/3/10,19,3.7,10.9,6.5
2010/3/11,0,5.5,12.5,8.7
2010/3/12,0,5.1,19.3,12.2
2010/3/13,0,10.4,22.2,16.2
2010/3/14,0,13,21.7,18.2
2010/3/15,100,16,21.3,18.8
2010/3/16,0,10.5,16,12.9
2010/3/17,0,9.5,16.3,12.9
2010/3/18,0,9,20.4,15
2010/3/19,0,11,17.5,14
2010/3/20,12,11.6,26.8,20.2
2010/3/21,0.5,10.4,20.7,14
2010/3/22,0,9.6,17.8,14
2010/3/23,14,14,26.1,19.8
2010/3/24,20.5,16.7,22,18.5
2010/3/25,17,12.5,17.3,14.1
2010/3/26,0,8.2,13.4,11.1
2010/3/27,0,5.7,14.4,12.1
2010/3/28,21,10.7,14.5,11.9
2010/3/29,0,10.8,16,13.3
2010/3/30,0,11.4,16.2,13.4
2010/3/31,0,12.6,18.8,16.5
2010/4/1,6.5,17.7,25,20.3
2010/4/2,15,10.4,20.2,14.8
2010/4/3,0,10.9,17.4,13.6
2010/4/4,16.5,11.1,20.6,15.8
2010/4/5,47.5,14.4,18.5,16.9
2010/4/6,10,13.2,22.4,18.4
2010/4/7,44.5,13.7,18.8,16.2
2010/4/8,0,13.7,16.9,15.3
2010/4/9,12.5,13.9,19.3,16.7
2010/4/10,9.5,17.5,22.7,19.8
2010/4/11,0.5,17.8,23.5,20.6
2010/4/12,170,17.7,22.6,20.6
2010/4/13,3.5,13,21.1,16.9
2010/4/14,1,11,15.8,13.2
2010/4/15,50,10.1,14,11.9
2010/4/16,12,12.3,18,14.1
2010/4/17,0,11.9,18.9,15.1
2010/4/18,0,10.7,22,17.6
2010/4/19,99,18.2,20.8,19.5
2010/4/20,59.5,19,26.8,22.4
2010/4/21,8.5,19.3,22.5,20.5
2010/4/22,47,17.6,25.7,21.9
2010/4/23,1.5,15,18.4,16.3
2010/4/24,0,13,19.6,16.3
2010/4/25,0,11.5,21.2,16.5
2010/4/26,14,14.2,21.1,18.1
2010/4/27,38.5,15.3,21.6,18.5
2010/4/28,0.5,13.5,22,17.6
2010/4/29,0.5,12.4,18.4,15.1
2010/4/30,0,11.7,20.8,16.3
2010/5/1,0,10.5,22.3,16.8
2010/5/2,0,12.8,24.3,19.7
2010/5/3,0,16.7,25.2,21
2010/5/4,0,15.8,25,20.6
2010/5/5,0,16.4,24.5,21.2
2010/5/6,0,21,28,23.6
2010/5/7,44.5,16.7,23.6,20.9
2010/5/8,0,16.5,25.6,21.4
2010/5/9,0,18.2,24.8,21.4
2010/5/10,33.5,19.9,24.5,21.9
2010/5/11,7,18.8,24.8,20.8
2010/5/12,0,16.1,23.9,19.9
2010/5/13,0,16.1,23.3,19.3
2010/5/14,0,18,22.3,20.5
2010/5/15,0,18.8,24.2,21
2010/5/16,0,17.9,24.8,21.9
2010/5/17,0,19.5,25.3,22
2010/5/18,32,19.7,21.7,20.9
2010/5/19,93.5,21.5,25.7,23.5
2010/5/20,72.5,19.1,23.8,21.9
2010/5/21,4,19.5,23.7,21.6
2010/5/22,10.5,21.2,24.9,22.7
2010/5/23,42,20.9,28.6,25.1
2010/5/24,15.5,17.5,28.4,21.3
2010/5/25,0,16.7,28,21.8
2010/5/26,0,17.9,23.1,20.1
2010/5/27,0,16.2,22.1,19.1
2010/5/28,0,14.9,24.1,19.7
2010/5/29,0,18.2,22.4,20.4
2010/5/30,0,18.3,26.3,21.8
2010/5/31,0,17.5,25.7,21.9
2010/6/1,0,20.2,24.8,21.9
2010/6/2,0,19,24,21.6
2010/6/3,0,18.3,25.6,22
2010/6/4,2.5,17.8,24.3,20.6
2010/6/5,3.5,17.4,25,20.5
2010/6/6,19,16.6,26.9,20.8
2010/6/7,19,16.8,21.3,19.5
2010/6/8,45,20.3,22.6,21.3
2010/6/9,5.5,19.5,24.7,21.4
2010/6/10,1,18.4,26.4,22.4
2010/6/11,5,20.8,26.1,23
2010/6/12,118,21.8,23.6,22.8
2010/6/13,0,21.3,27.8,24.3
2010/6/14,0.5,22.3,27.1,24.5
2010/6/15,58.5,22,26,24.2
2010/6/16,0.5,22.9,26.5,24.4
2010/6/17,158.5,23.1,27,24.5
2010/6/18,193.5,23.3,28,24.9
2010/6/19,141.5,23.6,26.9,24.7
2010/6/20,35,23,26.9,24.8
2010/6/21,72.5,22.8,28.3,24.7
2010/6/22,55,22.8,28.6,25.2
2010/6/23,19,22.2,24.3,23.4
2010/6/24,10.5,22,26.1,23.7
2010/6/25,121.5,23.2,26.6,24.5
2010/6/26,30.5,24.2,29.7,26.7
2010/6/27,0,24.2,30.9,27.3
2010/6/28,0,23.9,30.3,27.1
2010/6/29,10.5,23.7,29.9,26.3
2010/6/30,32,22.4,26.6,24
2010/7/1,0,23.2,30.2,26.4
2010/7/2,0,23.3,31.3,27
2010/7/3,121.5,24.3,29.1,26.3
2010/7/4,20.5,25.7,28.4,26.6
2010/7/5,2,24.1,27.1,25.4
2010/7/6,20,23.4,26.5,25
2010/7/7,51.5,21.9,26.8,24.2
2010/7/8,0,23,28.4,25.3
2010/7/9,163,22.5,26.1,24.7
2010/7/10,12,23.7,29.2,25.9
2010/7/11,0,24.9,33.1,28.4
2010/7/12,0,24.7,31.4,28
2010/7/13,15.5,23.4,30.5,27.3
2010/7/14,36.5,23.8,30.9,26.7
2010/7/15,2,23.1,30.7,26.5
2010/7/16,26,23.5,30.1,26.5
2010/7/17,1.5,25.5,29.8,27.2
2010/7/18,0,25.5,29.5,27.3
2010/7/19,0.5,26.4,30.1,27.6
2010/7/20,32,25.3,30.1,27.3
2010/7/21,14,25.5,29.9,27.1
2010/7/22,0,24,30.4,27.2
2010/7/23,0,23.9,30.5,27.1
2010/7/24,0,24.5,31.4,27.6
2010/7/25,0,24.2,30.7,27.2
2010/7/26,0,22.8,30.3,26.7
2010/7/27,11.5,24.1,29.8,26.7
2010/7/28,76,23.9,27.4,25.7
2010/7/29,45,24.2,28.8,26
2010/7/30,0.5,24.3,32,27.7
2010/7/31,0,24.9,32.6,27.9
2010/8/1,0,25,32.2,28.2
2010/8/2,0,25.3,31.9,28.4
2010/8/3,0,26.2,31.3,28.6
2010/8/4,3.5,26.4,31.1,28.4
2010/8/5,10,25.8,30.6,27.7
2010/8/6,2.5,26,30.7,28.1
2010/8/7,0,25.9,30.4,27.8
2010/8/8,28.5,24.7,30.4,26.9
2010/8/9,17.5,24.6,28.2,27
2010/8/10,0.5,27.4,29.6,28.1
2010/8/11,12,25.5,31.7,28.2
2010/8/12,2.5,25.1,31,27.8
2010/8/13,5,25.5,31.4,28.2
2010/8/14,0,25.3,32.1,28.1
2010/8/15,0,24.7,31.9,28.2
2010/8/16,0,24.8,31.7,28
2010/8/17,0,25.2,31.5,28.1
2010/8/18,0,25.4,31.7,28.4
2010/8/19,0,25.4,31.7,28.8
2010/8/20,1,27.2,31.8,29
2010/8/21,0,26.6,31.5,28.4
2010/8/22,0,26,31.1,28.2
2010/8/23,0,24.9,31.3,27.7
2010/8/24,0,24.1,31.2,27.7
2010/8/25,0,24.1,31.2,27.5
2010/8/26,36.5,24.5,29.4,26.8
2010/8/27,10.5,25.2,29.9,27.4
2010/8/28,34.5,25.5,30.3,27.6
2010/8/29,6.5,25.4,30.6,27.3
2010/8/30,7.5,25.5,31,27.6
2010/8/31,7,26.5,30.4,28.2
2010/9/1,13.5,25.4,30.4,27.8
2010/9/2,6,24.2,30.7,27.4
2010/9/3,0,23.9,31.2,27.2
2010/9/4,11.5,24.9,30.7,27.1
2010/9/5,40,24.8,29.6,26.7
2010/9/6,42.5,25.1,28.6,26.5
2010/9/7,2.5,25.7,30.9,27.5
2010/9/8,0,24.9,31,27.3
2010/9/9,2,24.2,30.2,26.8
2010/9/10,1,23.8,30.2,26.5
2010/9/11,0,24.4,30.1,27
2010/9/12,0,24.3,31.2,27.4
2010/9/13,0,24.7,31.2,27.4
2010/9/14,0,24.6,30.2,27
2010/9/15,38.5,22.5,29,24.2
2010/9/16,46.5,22.4,28.5,25.3
2010/9/17,0,22.4,29.9,26
2010/9/18,1,24,29.7,26.5
2010/9/19,0,24,30.6,26.8
2010/9/20,0,23.1,31.5,26.8
2010/9/21,0,24.1,31.3,27.2
2010/9/22,0,23.7,31.1,27.3
2010/9/23,31.5,22.3,28.7,25.3
2010/9/24,0,22.5,26.3,24.7
2010/9/25,0,21.5,26.7,24.1
2010/9/26,0,20.9,26.7,23.9
2010/9/27,47,22.8,26.4,24.2
2010/9/28,0.5,23.2,28.6,25.2
2010/9/29,14,22.3,27,24
2010/9/30,2,23.1,27.8,24.7
2010/10/1,4,23.4,27.2,25
2010/10/2,0.5,22.9,28.8,25.6
2010/10/3,10.5,22.4,28.7,24.9
2010/10/4,0,18.3,26.8,23.1
2010/10/5,2,18.9,26.3,21.6
2010/10/6,0.5,17.8,25.7,21.5
2010/10/7,0,17.9,27.2,22.1
2010/10/8,2,19.5,25.1,21.6
2010/10/9,48,19.9,23,21.3
2010/10/10,0,21.1,26.9,23.3
2010/10/11,0,17.8,27.3,21.9
2010/10/12,0.5,17.9,28,22.9
2010/10/13,44.5,20.9,24.3,22.5
2010/10/14,0,21.1,25.7,23
2010/10/15,0,19.1,24.6,21.3
2010/10/16,0,18.4,23.6,20.5
2010/10/17,0,18.2,24.6,21.7
2010/10/18,0,21.2,25.1,23.8
2010/10/19,85,19.1,25.6,23.3
2010/10/20,107,19.2,23.6,22
2010/10/21,1.5,21.8,24.1,23
2010/10/22,5.5,22.1,24.3,23.4
2010/10/23,33,21.9,24.8,22.9
2010/10/24,28,22.6,28.3,24.9
2010/10/25,1.5,21.2,29.3,24.2
2010/10/26,0,17.6,23.1,20.4
2010/10/27,0,18.6,20.4,19.3
2010/10/28,0.5,18.5,20.8,19.8
