年月日,降水量の合計(mm),最高気温(℃),最低気温(℃),平均気温(℃)
2010/1/31,14,8.5,5.9,7.4
2010/2/1,24,8.4,4.5,6.1
2010/2/2,0,10.5,4.1,6.8
2010/2/3,0,7.9,0.7,4.2
2010/2/4,0,7,-0.3,3
2010/2/5,0,8.2,0.3,4.3
2010/2/6,0,7.7,0.5,4.7
2010/2/7,0,10.6,-1.8,4
2010/2/8,0,15.8,4.2,9.9
2010/2/9,0,19.7,10.3,14.1
2010/2/10,20.5,19.2,11.7,14.9
2010/2/11,11.5,13.4,6.8,10
2010/2/12,0,10.8,4.4,7
2010/2/13,0,11,1.1,6.4
2010/2/14,1,10.4,3.1,7.3
2010/2/15,6,8.2,5.8,6.9
2010/2/16,0,9.8,3,6.4
2010/2/17,0,9.3,2.4,4.8
2010/2/18,0,8.7,1.8,4.8
2010/2/19,0,8.1,1.8,4.7
2010/2/20,0,10.5,1.1,5.1
2010/2/21,0,12.6,0.7,6.2
2010/2/22,0,16.5,3.3,9.9
2010/2/23,0,19.1,8.3,13
2010/2/24,0,20.1,7.2,13.5
2010/2/25,0,22.6,11.5,17.1
2010/2/26,25.5,21,14.1,16
2010/2/27,10.5,16.9,10.8,13.4
2010/2/28,7,16,8.9,11.5
2010/3/1,14,16.6,7.3,11.5
2010/3/2,0,14.2,11,12.1
2010/3/3,0,14.7,7.7,11.2
2010/3/4,4,18.1,8.3,11.3
2010/3/5,3,17.6,11.2,14.5
2010/3/6,22.5,14.9,10.2,12.5
2010/3/7,12,10.3,7.5,8.9
2010/3/8,0,12.1,6.8,8.3
2010/3/9,30,7.6,2.9,5
2010/3/10,13,4.8,2,3.5
2010/3/11,0,10.5,0.6,5.2
2010/3/12,0,18,2.8,10.8
2010/3/13,2.5,16.4,9.3,13.7
2010/3/14,0,16.5,7,11.5
2010/3/15,16,19,10.4,13.8
2010/3/16,0,15.2,7,11.3
2010/3/17,0,11.7,2.9,7.4
2010/3/18,0,12,3.9,8.1
2010/3/19,0,15.6,3.7,9.1
2010/3/20,15,27.5,7.7,17.5
2010/3/21,0,15.7,4.5,11.1
2010/3/22,0,15.3,3.5,9.7
2010/3/23,24,11.8,9.3,10.2
2010/3/24,22,10.1,7.6,8.8
2010/3/25,20.5,9.5,5.6,7.7
2010/3/26,0,10.9,1.1,6.7
2010/3/27,0,11.9,-0.1,6.4
2010/3/28,0,13.8,6.6,10
2010/3/29,0,11.9,3.7,8.1
2010/3/30,0,12.8,0.5,7.2
2010/3/31,0,16.6,7.3,12
2010/4/1,6,21.9,10.9,16.8
2010/4/2,15.5,19.8,7.6,12.7
2010/4/3,0,15.6,4.1,9.9
2010/4/4,0,18.6,6.3,12.4
2010/4/5,0,21.2,12,15.6
